25.49,26.07,25.39,25.41,1.60,6.48,0.57,285.48,50.50,93.74,23142,"
"
25.52,26.13,25.43,25.50,1.61,6.54,0.58,286.02,51.22,93.68,23348,"
"
25.62,26.16,25.50,25.58,1.61,6.60,0.59,286.38,52.02,93.65,23554,"
"
25.67,26.18,25.56,25.66,1.62,6.64,0.59,287.19,52.68,93.60,23760,"
"
25.74,26.19,25.58,25.71,1.63,6.74,0.59,287.27,53.06,93.60,23966,"
"
25.83,26.19,25.68,25.72,1.63,6.76,0.59,287.88,53.06,93.50,24173,"
"
25.88,26.29,25.74,25.78,1.64,6.84,0.60,288.07,53.36,93.44,24380,"
"
25.95,26.30,25.76,25.87,1.64,6.84,0.61,288.77,54.24,93.42,24587,"
"
26.04,26.40,25.77,25.89,1.65,6.91,0.61,289.46,54.81,93.32,24794,"
"
26.05,26.48,25.86,25.90,1.65,6.93,0.61,289.49,54.92,93.27,25001,"
"
26.06,26.52,25.89,25.96,1.65,6.99,0.61,289.54,55.04,93.17,25207,"
"
26.14,26.52,25.92,25.98,1.66,7.00,0.62,290.22,55.09,93.12,25413,"
"
26.18,26.62,25.95,26.01,1.67,7.01,0.62,290.31,55.85,93.11,25619,"
"
26.27,26.65,26.00,26.06,1.67,7.02,0.62,290.88,56.56,93.10,25826,"
"
26.28,26.73,26.00,26.12,1.68,7.11,0.62,291.60,56.92,93.01,26033,"
"
26.29,26.77,26.04,26.20,1.68,7.21,0.63,292.21,56.95,92.96,26239,"
"
26.36,26.84,26.08,26.22,1.68,7.28,0.64,292.84,57.86,92.94,26446,"
"
26.40,26.86,26.16,26.31,1.69,7.28,0.64,293.65,58.12,92.92,26653,"
"
26.43,26.96,26.17,26.35,1.69,7.30,0.64,294.65,58.63,92.91,26860,"
"
26.45,26.98,26.26,26.36,1.69,7.38,0.65,295.35,59.00,92.84,27067,"
"
26.48,27.02,26.27,26.45,1.70,7.47,0.65,295.84,59.92,92.83,27274,"
"
26.50,27.06,26.31,26.46,1.70,7.48,0.65,296.13,59.96,92.73,27481,"
"
26.52,27.14,26.40,26.55,1.71,7.50,0.66,296.31,60.11,92.67,27687,"
"
26.53,27.15,26.41,26.58,1.72,7.58,0.67,296.38,60.25,92.58,27893,"
"
26.58,27.22,26.48,26.62,1.73,7.63,0.68,297.01,60.96,92.54,28099,"
"
26.66,27.26,26.50,26.65,1.73,7.63,0.69,297.51,61.17,92.47,28305,"
"
26.70,27.31,26.56,26.73,1.74,7.68,0.69,297.84,61.38,92.38,28511,"
"
26.78,27.40,26.62,26.82,1.74,7.77,0.70,298.83,61.95,92.33,28717,"
"
26.85,27.48,26.69,26.86,1.75,7.81,0.70,299.64,62.67,92.25,28923,"
"
26.88,27.58,26.78,26.90,1.75,7.85,0.71,300.46,63.65,92.20,29129,"
"
26.94,27.60,26.86,26.98,1.76,7.88,0.72,301.04,64.60,92.12,29336,"
"
26.99,27.61,26.86,27.06,1.77,7.89,0.72,301.64,65.27,92.06,29542,"
"
27.00,27.65,26.93,27.14,1.78,7.92,0.72,301.69,65.44,91.98,29749,"
"
27.02,27.70,26.97,27.22,1.78,8.00,0.73,302.23,66.26,91.94,29956,"
"
27.04,27.79,27.02,27.26,1.78,8.08,0.73,302.54,67.11,91.84,30163,"
"
27.12,27.85,27.05,27.29,1.79,8.09,0.74,302.99,68.05,91.80,30370,"
"
27.16,27.86,27.11,27.35,1.79,8.11,0.75,303.74,68.60,91.78,30577,"
"
27.24,27.88,27.18,27.44,1.80,8.14,0.75,304.27,69.17,91.73,30783,"
"
27.25,27.95,27.19,27.46,1.80,8.14,0.76,305.03,69.50,91.72,30989,"
"
27.30,27.99,27.21,27.51,1.81,8.15,0.76,305.49,69.57,91.70,31195,"
"
27.35,28.09,27.24,27.52,1.82,8.19,0.77,306.08,69.99,91.68,31402,"
"
